id,inventoryState,lastConnection,groupName
ISKIE077058,installed,1728703851,Panchet Commercial
ISKIE070642,installed,1728693273,Durgapur Steel TPS Domestic
ISKIE070641,installed,1728693461,Durgapur Steel TPS Domestic
ISKIE077056,installed,1728701034,Panchet Domestic
ISKIE070696,installed,,Panchet Domestic
ISKIE070702,uninstalled,,Panchet Domestic
ISKIE070683,installed,,Panchet Domestic
ISKIE070701,installed,,Panchet Domestic
ISKIE070764,installed,1728696451,Panchet Domestic
ISKIE070772,installed,1711053270,Panchet Domestic
ISKIE070716,installed,1728700620,Panchet Domestic
ISKIE070832,installed,1728693501,Panchet Domestic
ISKIE070793,installed,1728697172,Panchet Domestic
ISKIE070823,installed,1728697151,Panchet Domestic
ISKIE070828,installed,1728697627,Panchet Domestic
ISKIE070827,installed,1728700354,Panchet Domestic
ISKIE070704,installed,1728697340,Panchet Domestic
ISKIE070859,installed,1728700622,Panchet Domestic
ISKIE070697,installed,1728700650,Panchet Domestic
ISKIE070681,installed,1711053829,Panchet Domestic
ISKIE070788,installed,1728700668,Panchet Domestic
ISKIE070791,installed,1728700676,Panchet Domestic
ISKIE070789,installed,1728700684,Panchet Domestic
ISKIE070790,installed,1728700726,Panchet Domestic
ISKIE070800,installed,1728698366,Panchet Domestic
ISKIE070862,installed,1728700844,Panchet Domestic
ISKIE070861,installed,1728701380,Panchet Domestic
ISKIE070860,installed,1728701481,Panchet Domestic
ISKIE070761,installed,1728701804,Panchet Domestic
ISKIE070838,installed,1728704495,Panchet Domestic
ISKIE070689,installed,1728698427,Panchet Domestic
ISKIE070810,installed,1728700598,Panchet Domestic
ISKIE070811,installed,1728700732,Panchet Domestic
ISKIE070763,installed,1728700739,Panchet Domestic
ISKIE070876,installed,1728699407,Panchet Domestic
ISKIE070713,installed,1728695966,Panchet Domestic
ISKIE070875,installed,1728696058,Panchet Domestic
ISKIE070858,installed,1728704634,Panchet Domestic
ISKIE070829,installed,1728704668,Panchet Domestic
ISKIE070831,installed,1728704682,Panchet Domestic
