groupName,device,isDataAvailable,measuredAt
Panchet Commercial,ISKIE077058,True,
Durgapur Steel TPS Domestic,ISKIE070642,True,
Durgapur Steel TPS Domestic,ISKIE070641,True,
Panchet Domestic,ISKIE077056,True,
Panchet Domestic,ISKIE070696,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070702,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070683,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070701,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070764,True,
Panchet Domestic,ISKIE070772,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070716,True,
Panchet Domestic,ISKIE070832,True,
Panchet Domestic,ISKIE070793,True,
Panchet Domestic,ISKIE070823,True,
Panchet Domestic,ISKIE070828,True,
Panchet Domestic,ISKIE070827,True,
Panchet Domestic,ISKIE070704,True,
Panchet Domestic,ISKIE070859,True,
Panchet Domestic,ISKIE070697,True,
Panchet Domestic,ISKIE070681,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070788,True,
Panchet Domestic,ISKIE070791,True,
Panchet Domestic,ISKIE070789,True,
Panchet Domestic,ISKIE070790,True,
Panchet Domestic,ISKIE070800,True,
Panchet Domestic,ISKIE070862,True,
Panchet Domestic,ISKIE070861,True,
Panchet Domestic,ISKIE070860,True,
Panchet Domestic,ISKIE070761,True,
Panchet Domestic,ISKIE070838,True,
Panchet Domestic,ISKIE070689,True,
Panchet Domestic,ISKIE070810,True,
Panchet Domestic,ISKIE070811,True,
Panchet Domestic,ISKIE070763,True,
Panchet Domestic,ISKIE070876,True,
Panchet Domestic,ISKIE070713,True,
Panchet Domestic,ISKIE070875,True,
Panchet Domestic,ISKIE070858,True,
Panchet Domestic,ISKIE070829,True,
Panchet Domestic,ISKIE070831,True,
Panchet Domestic,ISKIE070796,True,
Panchet Domestic,ISKIE070794,True,
Panchet Domestic,ISKIE070795,True,
Panchet Domestic,ISKIE070873,True,
Panchet Domestic,ISKIE070825,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070830,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070797,True,
Panchet Domestic,ISKIE070802,True,
Panchet Domestic,ISKIE070743,True,
Panchet Domestic,ISKIE070812,True,
Panchet Domestic,ISKIE070703,True,
Panchet Domestic,ISKIE070745,True,
Panchet Domestic,ISKIE070730,True,
Panchet Commercial,ISKIE076915,True,
Panchet Commercial,ISKIE076968,True,
Panchet Commercial,ISKIE076917,True,
Panchet Commercial,ISKIE076916,True,
Panchet Commercial,ISKIE076961,True,
Panchet Domestic,ISKIE070707,True,
Panchet Domestic,ISKIE070705,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070682,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE076958,True,
Panchet Commercial,ISKIE076972,False,2024-09-30T18:31:00Z
Panchet Commercial,ISKIE076971,True,
Panchet Commercial,ISKIE076959,True,
Panchet Commercial,ISKIE076969,True,
Panchet Commercial,ISKIE076960,True,
Panchet Commercial,ISKIE076912,True,
Panchet Domestic,ISKIE070723,True,
Panchet Domestic,ISKIE070727,True,
Panchet Domestic,ISKIE070699,True,
Panchet Domestic,ISKIE070738,True,
Panchet Commercial,ISKIE076993,True,
Panchet Domestic,ISKIE070756,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070685,True,
Panchet Domestic,ISKIE070687,True,
Panchet Domestic,ISKIE070840,True,
Panchet Domestic,ISKIE070759,True,
Panchet Domestic,ISKIE070744,True,
Panchet Domestic,ISKIE070747,True,
Panchet Domestic,ISKIE070729,True,
Panchet Domestic,ISKIE070728,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070746,True,
Panchet Domestic,ISKIE070748,True,
Panchet Domestic,ISKIE070752,True,
Panchet Domestic,ISKIE070724,True,
Panchet Domestic,ISKIE070725,True,
Panchet Domestic,ISKIE070726,True,
Panchet Domestic,ISKIE070804,True,
Panchet Domestic,ISKIE070806,True,
Panchet Domestic,ISKIE070700,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070698,True,
Panchet Domestic,ISKIE070686,True,
Panchet Domestic,ISKIE070852,True,
Panchet Domestic,ISKIE070848,True,
Panchet Domestic,ISKIE070850,True,
Panchet Domestic,ISKIE070684,True,
Panchet Domestic,ISKIE070849,True,
Panchet Domestic,ISKIE070851,True,
Panchet Domestic,ISKIE070765,True,
Panchet Domestic,ISKIE070760,True,
Panchet Domestic,ISKIE070758,True,
Panchet Domestic,ISKIE070766,True,
Panchet Domestic,ISKIE070767,True,
Panchet Domestic,ISKIE070755,True,
Panchet Domestic,ISKIE070757,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070808,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070809,True,
Panchet Domestic,ISKIE070732,True,
Panchet Domestic,ISKIE070751,True,
Panchet Domestic,ISKIE070750,True,
Panchet Domestic,ISKIE070807,True,
Panchet Domestic,ISKIE076994,True,
Panchet Domestic,ISKIE070768,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070688,True,
Panchet Domestic,ISKIE070770,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070769,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070803,True,
Panchet Domestic,ISKIE070762,True,
Panchet Domestic,ISKIE070753,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070754,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070739,True,
Panchet Domestic,ISKIE070877,True,
Panchet Domestic,ISKIE070874,True,
Panchet Domestic,ISKIE070717,True,
Panchet Domestic,ISKIE070799,False,2024-09-30T18:31:00Z
Panchet Domestic,ISKIE070714,True,
Panchet Domestic,ISKIE070715,True,
Panchet Domestic,ISKIE070798,True,
Panchet Domestic,ISKIE070801,True,
Panchet Domestic,ISKIE070792,True,
