registerId,value,unit,measuredAt,device,profile,groupName
1-0:9.8.0*255,620.045,kVAh,,ISKIE077058,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,7055.234,kVAh,,ISKIE070642,1-0:98.1.0*255,Durgapur Steel TPS Domestic
1-0:9.8.0*255,427.285,kVAh,,ISKIE070641,1-0:98.1.0*255,Durgapur Steel TPS Domestic
1-0:9.8.0*255,7055.234,kVAh,,ISKIE077056,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4735.73,kVAh,,ISKIE070764,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3826.032,kVAh,,ISKIE070716,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,482.209,kVAh,,ISKIE070832,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2144.214,kVAh,,ISKIE070793,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,154.817,kVAh,,ISKIE070823,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,192.491,kVAh,,ISKIE070828,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,147.234,kVAh,,ISKIE070827,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2499.382,kVAh,,ISKIE070704,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5483.102,kVAh,,ISKIE070859,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,9394.17,kVAh,,ISKIE070697,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5141.239,kVAh,,ISKIE070788,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2792.197,kVAh,,ISKIE070791,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3024.307,kVAh,,ISKIE070789,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2729.447,kVAh,,ISKIE070790,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,421.886,kVAh,,ISKIE070800,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2604.872,kVAh,,ISKIE070862,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4405.662,kVAh,,ISKIE070861,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,7449.474,kVAh,,ISKIE070860,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,11069.478,kVAh,,ISKIE070761,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5737.702,kVAh,,ISKIE070838,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1943.393,kVAh,,ISKIE070689,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3171.119,kVAh,,ISKIE070810,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5968.194,kVAh,,ISKIE070811,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3230.968,kVAh,,ISKIE070763,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4604.357,kVAh,,ISKIE070876,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,8178.797,kVAh,,ISKIE070713,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5402.508,kVAh,,ISKIE070875,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2256.377,kVAh,,ISKIE070858,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,197.328,kVAh,,ISKIE070829,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,590.215,kVAh,,ISKIE070831,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,109.267,kVAh,,ISKIE070796,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,49.337,kVAh,,ISKIE070794,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1317.772,kVAh,,ISKIE070795,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,545.14,kVAh,,ISKIE070873,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,252.2,kVAh,,ISKIE070797,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,8562.34,kVAh,,ISKIE070802,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3146.285,kVAh,,ISKIE070743,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,8118.069,kVAh,,ISKIE070812,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4232.222,kVAh,,ISKIE070703,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,11690.695,kVAh,,ISKIE070745,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3815.075,kVAh,,ISKIE070730,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,168.853,kVAh,,ISKIE076915,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,1167.089,kVAh,,ISKIE076968,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,2639.501,kVAh,,ISKIE076917,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,5773.309,kVAh,,ISKIE076916,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,344.937,kVAh,,ISKIE076961,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,8446.745,kVAh,,ISKIE070707,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,385.873,kVAh,,ISKIE076958,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,2890.719,kVAh,,ISKIE076971,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,164.866,kVAh,,ISKIE076959,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,354.777,kVAh,,ISKIE076969,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,93.678,kVAh,,ISKIE076960,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,639.926,kVAh,,ISKIE076912,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,3137.08,kVAh,,ISKIE070723,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2599.647,kVAh,,ISKIE070727,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,963.851,kVAh,,ISKIE070699,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,4717.98,kVAh,,ISKIE070738,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,466.748,kVAh,,ISKIE076993,1-0:98.1.0*255,Panchet Commercial
1-0:9.8.0*255,0.0,kVAh,,ISKIE070685,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,951.811,kVAh,,ISKIE070687,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1405.957,kVAh,,ISKIE070840,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,642.715,kVAh,,ISKIE070759,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,657.137,kVAh,,ISKIE070744,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,8498.437,kVAh,,ISKIE070747,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,532.991,kVAh,,ISKIE070729,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2047.359,kVAh,,ISKIE070746,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1612.371,kVAh,,ISKIE070748,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,606.615,kVAh,,ISKIE070752,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,696.008,kVAh,,ISKIE070724,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1082.763,kVAh,,ISKIE070725,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1009.829,kVAh,,ISKIE070726,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1112.306,kVAh,,ISKIE070804,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1681.809,kVAh,,ISKIE070806,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,0.001,kVAh,,ISKIE070698,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,0.0,kVAh,,ISKIE070686,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1651.683,kVAh,,ISKIE070852,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,0.0,kVAh,,ISKIE070848,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,981.043,kVAh,,ISKIE070850,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,0.0,kVAh,,ISKIE070684,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,0.0,kVAh,,ISKIE070849,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,0.0,kVAh,,ISKIE070851,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,600.165,kVAh,,ISKIE070765,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3109.29,kVAh,,ISKIE070760,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1104.144,kVAh,,ISKIE070758,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2079.739,kVAh,,ISKIE070766,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,6533.881,kVAh,,ISKIE070767,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1.306,kVAh,,ISKIE070755,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1329.307,kVAh,,ISKIE070809,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3915.063,kVAh,,ISKIE070732,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1799.019,kVAh,,ISKIE070751,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,583.451,kVAh,,ISKIE070750,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,1966.474,kVAh,,ISKIE070807,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,9418.158,kVAh,,ISKIE076994,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2880.765,kVAh,,ISKIE070688,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3228.041,kVAh,,ISKIE070803,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,2314.001,kVAh,,ISKIE070762,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3279.997,kVAh,,ISKIE070739,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,3632.124,kVAh,,ISKIE070877,1-0:98.1.0*255,Panchet Domestic
1-0:9.8.0*255,5883.752,kVAh,,ISKIE070874,1-0:98.1.0*255,Panchet Domestic
