registerId,value,unit,measuredAt,device,profile,groupName
1-0:1.8.0*255,532.082,kWh,,ISKIE077058,1-0:98.1.0*255,Panchet Commercial
1-0:1.8.0*255,6902.39,kWh,,ISKIE070642,1-0:98.1.0*255,Durgapur Steel TPS Domestic
1-0:1.8.0*255,397.56,kWh,,ISKIE070641,1-0:98.1.0*255,Durgapur Steel TPS Domestic
1-0:1.8.0*255,6902.39,kWh,,ISKIE077056,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4704.9,kWh,,ISKIE070764,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3429.305,kWh,,ISKIE070716,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,447.653,kWh,,ISKIE070832,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2134.515,kWh,,ISKIE070793,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,149.597,kWh,,ISKIE070823,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,188.78,kWh,,ISKIE070828,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,145.089,kWh,,ISKIE070827,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2433.768,kWh,,ISKIE070704,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5181.995,kWh,,ISKIE070859,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,8707.344,kWh,,ISKIE070697,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4954.598,kWh,,ISKIE070788,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2754.338,kWh,,ISKIE070791,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2541.594,kWh,,ISKIE070789,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2660.016,kWh,,ISKIE070790,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,356.358,kWh,,ISKIE070800,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,2496.4,kWh,,ISKIE070862,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,4325.639,kWh,,ISKIE070861,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,7383.894,kWh,,ISKIE070860,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,10652.892,kWh,,ISKIE070761,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5471.279,kWh,,ISKIE070838,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,1892.279,kWh,,ISKIE070689,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,3013.541,kWh,,ISKIE070810,1-0:98.1.0*255,Panchet Domestic
1-0:1.8.0*255,5906.833,kWh,,ISKIE070811,1-0:98.1.0*255,Panchet Domestic
