id,inventoryState,lastConnection,groupName
ISKIE077058,installed,1729049451,Panchet Commercial
ISKIE070642,installed,1729053259,Durgapur Steel TPS Domestic
ISKIE070641,installed,1729058447,Durgapur Steel TPS Domestic
ISKIE077056,installed,1729058761,Panchet Domestic
ISKIE070696,installed,,Panchet Domestic
ISKIE070702,uninstalled,,Panchet Domestic
ISKIE070683,installed,,Panchet Domestic
ISKIE070701,installed,,Panchet Domestic
ISKIE070764,installed,1729060962,Panchet Domestic
ISKIE070772,installed,1711053270,Panchet Domestic
ISKIE070716,installed,1729061383,Panchet Domestic
ISKIE070832,installed,1729057990,Panchet Domestic
ISKIE070793,installed,1729058165,Panchet Domestic
ISKIE070823,installed,1729057867,Panchet Domestic
ISKIE070828,installed,1729056021,Panchet Domestic
ISKIE070827,installed,1729057912,Panchet Domestic
ISKIE070704,installed,1729057959,Panchet Domestic
ISKIE070859,installed,1729060629,Panchet Domestic
ISKIE070697,installed,1729060633,Panchet Domestic
ISKIE070681,installed,1711053829,Panchet Domestic
ISKIE070788,installed,1729060660,Panchet Domestic
ISKIE070791,installed,1729060664,Panchet Domestic
ISKIE070789,installed,1729060668,Panchet Domestic
ISKIE070790,installed,1729060671,Panchet Domestic
ISKIE070800,installed,1729058387,Panchet Domestic
ISKIE070862,installed,1729060842,Panchet Domestic
ISKIE070861,installed,1729061399,Panchet Domestic
ISKIE070860,installed,1729061488,Panchet Domestic
ISKIE070761,installed,1729061814,Panchet Domestic
ISKIE070838,installed,1729050096,Panchet Domestic
ISKIE070689,installed,1729044034,Panchet Domestic
ISKIE070810,installed,1729058643,Panchet Domestic
ISKIE070811,installed,1729060673,Panchet Domestic
ISKIE070763,installed,1729060728,Panchet Domestic
ISKIE070876,installed,1729059170,Panchet Domestic
ISKIE070713,installed,1729056028,Panchet Domestic
ISKIE070875,installed,1729059892,Panchet Domestic
ISKIE070858,installed,1729050228,Panchet Domestic
ISKIE070829,installed,1729050272,Panchet Domestic
ISKIE070831,installed,1729050287,Panchet Domestic
ISKIE070796,installed,1729050467,Panchet Domestic
ISKIE070794,installed,1729050467,Panchet Domestic
ISKIE070795,installed,1729050653,Panchet Domestic
ISKIE070873,installed,1729050639,Panchet Domestic
ISKIE070825,installed,1728285215,Panchet Domestic
ISKIE070830,installed,1729062855,Panchet Domestic
ISKIE070797,installed,1729058684,Panchet Domestic
ISKIE070802,installed,1729063314,Panchet Domestic
ISKIE070743,installed,1729063332,Panchet Domestic
ISKIE070812,installed,1729049082,Panchet Domestic
ISKIE070703,installed,1729034835,Panchet Domestic
ISKIE070745,installed,1729034839,Panchet Domestic
ISKIE070730,installed,1729049211,Panchet Domestic
