id,inventoryState,lastConnection,groupName
ISKIE077058,installed,1725895865,Panchet Commercial
ISKIE070642,installed,1725891653,Durgapur Steel TPS Domestic
ISKIE070641,installed,1725885455,Durgapur Steel TPS Domestic
ISKIE077056,installed,1725892085,Panchet Domestic
ISKIE070696,installed,,Panchet Domestic
ISKIE070702,uninstalled,,Panchet Domestic
ISKIE070683,installed,,Panchet Domestic
ISKIE070701,installed,,Panchet Domestic
ISKIE070764,installed,1725888447,Panchet Domestic
ISKIE070772,installed,1711053270,Panchet Domestic
ISKIE070716,installed,1725888849,Panchet Domestic
ISKIE070832,installed,1725885490,Panchet Domestic
ISKIE070793,installed,1725885629,Panchet Domestic
ISKIE070823,installed,1725889141,Panchet Domestic
ISKIE070828,installed,,Panchet Domestic
ISKIE070827,installed,1725889090,Panchet Domestic
ISKIE070704,installed,1725889331,Panchet Domestic
ISKIE070859,installed,1725892631,Panchet Domestic
ISKIE070697,installed,1725892637,Panchet Domestic
ISKIE070681,installed,1711053829,Panchet Domestic
ISKIE070788,installed,1725892680,Panchet Domestic
ISKIE070791,installed,1725892875,Panchet Domestic
ISKIE070789,installed,1725892948,Panchet Domestic
ISKIE070790,installed,1725892950,Panchet Domestic
ISKIE070800,installed,1725893073,Panchet Domestic
ISKIE070862,installed,1725893137,Panchet Domestic
ISKIE070861,installed,1725893384,Panchet Domestic
ISKIE070860,installed,1725893547,Panchet Domestic
ISKIE070761,installed,1725893821,Panchet Domestic
ISKIE070838,installed,1725896491,Panchet Domestic
ISKIE070689,installed,1725893736,Panchet Domestic
ISKIE070810,installed,1725895597,Panchet Domestic
ISKIE070811,installed,1725893930,Panchet Domestic
ISKIE070763,installed,1725892790,Panchet Domestic
ISKIE070876,installed,1725891083,Panchet Domestic
ISKIE070713,installed,1725890381,Panchet Domestic
ISKIE070875,installed,1725890461,Panchet Domestic
ISKIE070858,installed,1725896636,Panchet Domestic
ISKIE070829,installed,1725896856,Panchet Domestic
ISKIE070831,installed,1722867983,Panchet Domestic
ISKIE070796,installed,1725896867,Panchet Domestic
ISKIE070794,installed,1725896867,Panchet Domestic
ISKIE070795,installed,1725897067,Panchet Domestic
ISKIE070873,installed,1725897032,Panchet Domestic
ISKIE070825,installed,1725897049,Panchet Domestic
ISKIE070830,installed,1723650688,Panchet Domestic
ISKIE070797,installed,1725890979,Panchet Domestic
ISKIE070802,installed,1725895322,Panchet Domestic
ISKIE070743,installed,1725895330,Panchet Domestic
ISKIE070812,installed,,Panchet Domestic
ISKIE070703,installed,1725898734,Panchet Domestic
ISKIE070745,installed,1725898735,Panchet Domestic
ISKIE070730,installed,1725895622,Panchet Domestic
ISKIE076915,installed,1725895861,Panchet Commercial
ISKIE076968,installed,1725895866,Panchet Commercial
ISKIE076917,installed,1725895674,Panchet Commercial
ISKIE076916,installed,1725895677,Panchet Commercial
ISKIE076961,installed,1725898735,Panchet Commercial
ISKIE070707,installed,1725895907,Panchet Domestic
ISKIE070705,installed,1696432582,Panchet Domestic
ISKIE070682,installed,1711024303,Panchet Domestic
ISKIE076958,installed,1725898738,Panchet Commercial
ISKIE076972,installed,1695117751,Panchet Commercial
ISKIE076971,installed,1725885252,Panchet Commercial
ISKIE076959,installed,1725885267,Panchet Commercial
ISKIE076969,installed,1725898742,Panchet Commercial
ISKIE076960,installed,1725885303,Panchet Commercial
ISKIE076912,installed,1725885343,Panchet Commercial
ISKIE070723,installed,1725885347,Panchet Domestic
ISKIE070727,installed,1725885352,Panchet Domestic
ISKIE070699,installed,1725885376,Panchet Domestic
ISKIE070738,installed,1725885391,Panchet Domestic
ISKIE076993,installed,1725885394,Panchet Commercial
ISKIE070756,installed,,Panchet Domestic
ISKIE070685,installed,1725885455,Panchet Domestic
ISKIE070687,installed,1725885504,Panchet Domestic
ISKIE070840,installed,1725885545,Panchet Domestic
ISKIE070759,installed,,Panchet Domestic
ISKIE070744,installed,,Panchet Domestic
ISKIE070747,installed,,Panchet Domestic
ISKIE070729,installed,1725885709,Panchet Domestic
ISKIE070728,installed,1722867786,Panchet Domestic
ISKIE070746,installed,1725898456,Panchet Domestic
ISKIE070748,installed,1725890107,Panchet Domestic
ISKIE070752,installed,1725891692,Panchet Domestic
